Time(s),File,Token Count
7,/small.c,93032
22,/small.c,85481
25,/small.c,72090
27,/small.c,64826
29,/small.c,65177
30,/small.c,59533
33,/small.c,40108
34,/small.c,38911
35,/small.c,37491
36,/small.c,36270
37,/small.c,36025
38,/small.c,36133
39,/small.c,34685
40,/small.c,34288
40,/small.c,33375
41,/small.c,33411
42,/small.c,33442
42,/small.c,33212
44,/small.c,33184
45,/small.c,33038
46,/small.c,32875
46,/small.c,32336
47,/small.c,32223
48,/small.c,32231
49,/small.c,32014
49,/small.c,31720
51,/small.c,4165
51,/small.c,4086
52,/small.c,4029
52,/small.c,3968
53,/small.c,3886
54,/small.c,3792
54,/small.c,3786
56,/small.c,3687
57,/small.c,3669
58,/small.c,3660
59,/small.c,3658
60,/small.c,3606
61,/small.c,3467
61,/small.c,3455
62,/small.c,3452
63,/small.c,3346
64,/small.c,3228
65,/small.c,3143
66,/small.c,2982
66,/small.c,2787
68,/small.c,2759
68,/small.c,2417
69,/small.c,2393
71,/small.c,2345
72,/small.c,2395
73,/small.c,2388
73,/small.c,2380
74,/small.c,2374
75,/small.c,2370
75,/small.c,2381
76,/small.c,2379
77,/small.c,2363
77,/small.c,2345
78,/small.c,2337
79,/small.c,2325
80,/small.c,2311
81,/small.c,2273
82,/small.c,2227
82,/small.c,2208
85,/small.c,2179
85,/small.c,2171
86,/small.c,2168
87,/small.c,2147
90,/small.c,2066
90,/small.c,2049
91,/small.c,2038
92,/small.c,2029
92,/small.c,2026
93,/small.c,1886
93,/small.c,1879
95,/small.c,1872
95,/small.c,1868
96,/small.c,1862
96,/small.c,1857
97,/small.c,1726
97,/small.c,1723
98,/small.c,1721
99,/small.c,1697
100,/small.c,1660
100,/small.c,1613
101,/small.c,1613
101,/small.c,1612
102,/small.c,880
102,/small.c,866
103,/small.c,861
103,/small.c,856
105,/small.c,866
106,/small.c,906
106,/small.c,903
107,/small.c,908
109,/small.c,905
110,/small.c,902
110,/small.c,820
113,/small.c,717
114,/small.c,703
115,/small.c,696
116,/small.c,689
124,/small.c,667
124,/small.c,583
125,/small.c,561
125,/small.c,531
126,/small.c,524
130,/small.c,499
131,/small.c,494
136,/small.c,489
137,/small.c,485
137,/small.c,475
138,/small.c,477
138,/small.c,475
145,/small.c,473
146,/small.c,460
