Time(s),File,Token Count
3,/small.c,19915
4,/small.c,17951
5,/small.c,16462
6,/small.c,16185
6,/small.c,15599
7,/small.c,15042
8,/small.c,14665
9,/small.c,14595
9,/small.c,14381
10,/small.c,14356
10,/small.c,15557
12,/small.c,15041
12,/small.c,15018
13,/small.c,15005
13,/small.c,14994
14,/small.c,14960
15,/small.c,14898
16,/small.c,14608
17,/small.c,13011
18,/small.c,12868
18,/small.c,12862
19,/small.c,12611
19,/small.c,11921
19,/small.c,11915
20,/small.c,11909
20,/small.c,11894
21,/small.c,11864
21,/small.c,11855
22,/small.c,11858
22,/small.c,11986
23,/small.c,11994
24,/small.c,12001
25,/small.c,11995
26,/small.c,11993
26,/small.c,11991
27,/small.c,11827
27,/small.c,11804
28,/small.c,11578
28,/small.c,11560
29,/small.c,11550
29,/small.c,10191
29,/small.c,10177
30,/small.c,7844
30,/small.c,7838
31,/small.c,7806
31,/small.c,7805
32,/small.c,7775
33,/small.c,4483
33,/small.c,4294
34,/small.c,4013
34,/small.c,3957
35,/small.c,3860
35,/small.c,3797
35,/small.c,3769
36,/small.c,3645
36,/small.c,3645
36,/small.c,3639
36,/small.c,3606
37,/small.c,3595
37,/small.c,3585
37,/small.c,3557
38,/small.c,3554
38,/small.c,3501
38,/small.c,3495
39,/small.c,3484
40,/small.c,2441
40,/small.c,2402
41,/small.c,2249
41,/small.c,2148
42,/small.c,1958
42,/small.c,1852
42,/small.c,1833
43,/small.c,1827
44,/small.c,1821
44,/small.c,1815
44,/small.c,1809
45,/small.c,1802
45,/small.c,1026
45,/small.c,1009
46,/small.c,1003
46,/small.c,984
46,/small.c,979
47,/small.c,968
49,/small.c,871
